technology,hurdle_sector,times_pset_set,note
air separation unit,supply,SUP-processes,
Alkaline electrolyzer large size,supply,SUP-processes,
Alkaline electrolyzer medium size,supply,SUP-processes,
Alkaline electrolyzer small size,supply,SUP-processes,
allam,power,ELC-PUB,
ammonia carbon capture retrofit,industry,IND-process,
Ammonia cracker,supply,SUP-processes,
battery,none,,storage aggregate; capital_cost summed from components
Battery electric (passenger cars),transport,TRA-processes,
Battery electric (trucks),transport,TRA-processes,
battery inverter,power,ELC-PUB,
battery storage,power,ELC-PUB,
BEV Bus city,transport,TRA-processes,
BEV Coach,transport,TRA-processes,
BEV Truck Semi-Trailer max 50 tons,transport,TRA-processes,
BEV Truck Solo max 26 tons,transport,TRA-processes,
BEV Truck Trailer max 56 tons,transport,TRA-processes,
biochar pyrolysis,supply,SUP-processes,
biodiesel crops,supply,SUP-processes,
bioethanol crops,supply,SUP-processes,
biogas,supply,SUP-processes,
biogas CC,supply,SUP-processes,
biogas manure,supply,SUP-processes,
biogas plus hydrogen,supply,SUP-processes,
biogas upgrading,supply,SUP-processes,
biomass,power,ELC-PUB,
biomass boiler,industry,IND-process,
biomass CHP,chp,ALL-CHP,
biomass CHP capture,chp,ALL-CHP,
biomass EOP,power,ELC-PUB,
biomass HOP,supply,SUP-processes,
biomass-to-methanol,supply,SUP-processes,
BioSNG,supply,SUP-processes,
blast furnace-basic oxygen furnace,industry,IND-process,
BtL,supply,SUP-processes,
CCGT,power,ELC-PUB,
cement capture,industry,IND-process,
cement carbon capture retrofit,industry,IND-process,
cement dry clinker,industry,IND-process,
cement finishing,industry,IND-process,
central air-sourced heat pump,supply,SUP-processes,"SUP-processes: district-heating supply plant. ELC-PUB carries the same 0.075, so the label does not change any number — D3"
central coal CHP,chp,ALL-CHP,
central excess-heat-sourced heat pump,supply,SUP-processes,"SUP-processes: district-heating supply plant. ELC-PUB carries the same 0.075, so the label does not change any number — D3"
central gas boiler,supply,SUP-processes,"SUP-processes: district-heating supply plant. ELC-PUB carries the same 0.075, so the label does not change any number — D3"
central gas CHP,chp,ALL-CHP,
central gas CHP CC,chp,ALL-CHP,
central geothermal heat source,supply,SUP-processes,"SUP-processes: district-heating supply plant. ELC-PUB carries the same 0.075, so the label does not change any number — D3"
central ground-sourced heat pump,supply,SUP-processes,"SUP-processes: district-heating supply plant. ELC-PUB carries the same 0.075, so the label does not change any number — D3"
central hydrogen CHP,chp,ALL-CHP,
central resistive heater,supply,SUP-processes,"SUP-processes: district-heating supply plant. ELC-PUB carries the same 0.075, so the label does not change any number — D3"
central solar thermal,supply,SUP-processes,"SUP-processes: district-heating supply plant. ELC-PUB carries the same 0.075, so the label does not change any number — D3"
central solid biomass CHP,chp,ALL-CHP,
central solid biomass CHP CC,chp,ALL-CHP,
central solid biomass CHP powerboost CC,chp,ALL-CHP,
central water pit charger,supply,SUP-processes,"SUP-processes: district-heating supply plant. ELC-PUB carries the same 0.075, so the label does not change any number — D3"
central water pit discharger,supply,SUP-processes,"SUP-processes: district-heating supply plant. ELC-PUB carries the same 0.075, so the label does not change any number — D3"
central water pit storage,supply,SUP-processes,"SUP-processes: district-heating supply plant. ELC-PUB carries the same 0.075, so the label does not change any number — D3"
central water tank charger,supply,SUP-processes,"SUP-processes: district-heating supply plant. ELC-PUB carries the same 0.075, so the label does not change any number — D3"
central water tank discharger,supply,SUP-processes,"SUP-processes: district-heating supply plant. ELC-PUB carries the same 0.075, so the label does not change any number — D3"
central water tank storage,supply,SUP-processes,"SUP-processes: district-heating supply plant. ELC-PUB carries the same 0.075, so the label does not change any number — D3"
CH4 (g) fill compressor station,supply,SUP-processes,
CH4 (g) pipeline,supply,SUP-processes,
CH4 (g) submarine pipeline,supply,SUP-processes,
CH4 (l) transport ship,transport,TRA-processes,
CH4 evaporation,supply,SUP-processes,
CH4 liquefaction,supply,SUP-processes,
Charging infrastructure fast (purely) battery electric vehicles passenger cars,transport,TRA-processes,
Charging infrastructure fuel cell vehicles passenger cars,transport,TRA-processes,
Charging infrastructure fuel cell vehicles trucks,transport,TRA-processes,
Charging infrastructure slow (purely) battery electric vehicles passenger cars,transport,TRA-processes,
clean water tank storage,supply,SUP-processes,
CO2 liquefaction,supply,SUP-processes,
CO2 pipeline,supply,SUP-processes,
CO2 storage tank,supply,SUP-processes,
CO2 submarine pipeline,supply,SUP-processes,
coal,power,ELC-PUB,
Compressed-Air-Adiabatic-bicharger,power,ELC-PUB,
Compressed-Air-Adiabatic-store,power,ELC-PUB,
Concrete-charger,power,ELC-PUB,
Concrete-discharger,power,ELC-PUB,
Concrete-store,power,ELC-PUB,
"Container feeder, ammonia",transport,TRA-processes,
"Container feeder, diesel",transport,TRA-processes,
"Container feeder, methanol",transport,TRA-processes,
"Container, ammonia",transport,TRA-processes,
"Container, diesel",transport,TRA-processes,
"Container, methanol",transport,TRA-processes,
csp-tower,power,ELC-PUB,
csp-tower power block,power,ELC-PUB,
csp-tower TES,power,ELC-PUB,
decentral air-sourced heat pump,residential,RSD-processes,"RSD-processes: no tertiary split in the cost table, so the services buses also get 0.12 instead of COM-processes 0.11 — D2"
decentral CHP,chp,ALL-CHP,"ALL-CHP: TIMES rates every CHP at 0.075, not at the sector rate of the building it sits in"
decentral gas boiler,residential,RSD-processes,"RSD-processes: no tertiary split in the cost table, so the services buses also get 0.12 instead of COM-processes 0.11 — D2"
decentral gas boiler connection,residential,RSD-processes,"RSD-processes: no tertiary split in the cost table, so the services buses also get 0.12 instead of COM-processes 0.11 — D2"
decentral ground-sourced heat pump,residential,RSD-processes,"RSD-processes: no tertiary split in the cost table, so the services buses also get 0.12 instead of COM-processes 0.11 — D2"
decentral oil boiler,residential,RSD-processes,"RSD-processes: no tertiary split in the cost table, so the services buses also get 0.12 instead of COM-processes 0.11 — D2"
decentral resistive heater,residential,RSD-processes,"RSD-processes: no tertiary split in the cost table, so the services buses also get 0.12 instead of COM-processes 0.11 — D2"
decentral solar thermal,residential,RSD-processes,"RSD-processes: no tertiary split in the cost table, so the services buses also get 0.12 instead of COM-processes 0.11 — D2"
decentral water tank charger,residential,RSD-processes,"RSD-processes: no tertiary split in the cost table, so the services buses also get 0.12 instead of COM-processes 0.11 — D2"
decentral water tank discharger,residential,RSD-processes,"RSD-processes: no tertiary split in the cost table, so the services buses also get 0.12 instead of COM-processes 0.11 — D2"
decentral water tank storage,residential,RSD-processes,"RSD-processes: no tertiary split in the cost table, so the services buses also get 0.12 instead of COM-processes 0.11 — D2"
Diesel Bus city,transport,TRA-processes,
Diesel Coach,transport,TRA-processes,
Diesel Truck Semi-Trailer max 50 tons,transport,TRA-processes,
Diesel Truck Solo max 26 tons,transport,TRA-processes,
Diesel Truck Trailer max 56 tons,transport,TRA-processes,
digestible biomass,supply,SUP-processes,
digestible biomass to hydrogen,supply,SUP-processes,
direct air capture,supply,SUP-processes,
