,,2025,2025,2030,2030,2035,2035,2040,2040,2045,2045,2050,2050,tolerance,source
,,min,max,min,max,min,max,min,max,min,max,min,max,rel,tag
country,carrier,,,,,,,,,,,,,,
BE,onwind,3337,3337,5000,,,,,,,,,,0.005,Elia-ADEXFLEX
BE,offwind-all,2262,2262,2262,2262,,,4362,,,,5800,,0.005,"NECP-BE-2030 (retimed 2026-09, press review): 2025 and 2030 pinned at the standing fleet, PEZ I+II floor 2040, full zone 2050"
BE,solar-all,9751,9751,16500,,,,,,,,,,0.005,Elia-ADEXFLEX
BEWAL,solar-all,4088,4088,6500,,,,,,,,,,0.005,Elia-ADEXFLEX
BG,offwind-all,0,,0,,0,,15840,,0,,0,,,legacy-unreviewed
DE,offwind-all,9215,9215,30000,,,,,,,,,,0.005,WindSeeG
DK,offwind-all,0,,8251,,17750.8,,27251,,27251,,27251,,,legacy-unreviewed
EE,offwind-all,0,,0,,1750,,3500,,3500,,3500,,,legacy-unreviewed
ES,offwind-all,0,,2800,,2800,,2800,,2800,,2800,,,legacy-unreviewed
FI,offwind-all,0,,1000,,2950,,4900,,4900,,4900,,,legacy-unreviewed
FR,offwind-all,1486,1486,3600,,,,,,,,,,0.005,PPE3-2026
GR,offwind-all,0,,2700,,6450,,10200,,10200,,10200,,,legacy-unreviewed
HR,offwind-all,0,,510,,855,,1200,,1200,,1200,,,legacy-unreviewed
IE,offwind-all,0,,5025.2,,8060.7,,11096,,11096.2,,11096.2,,,legacy-unreviewed
IT,offwind-all,0,,8500,,13500,,18500,,18500,,18500,,,legacy-unreviewed
LT,offwind-all,0,,1400,,2800,,4200,,4200,,4200,,,legacy-unreviewed
LV,offwind-all,0,,500,,750,,1000,,1000,,1000,,,legacy-unreviewed
NL,offwind-all,4748,4748,12000,,,,,,,,,,0.005,KEV2024+NZWIP2025
NO,offwind-all,0,,3004,,6504,,10004,,10004,,10004,,,legacy-unreviewed
PL,offwind-all,0,,10004,,10452,,10900,,10900,,10900,,,legacy-unreviewed
PT,offwind-all,0,,2000,,6000,,10000,,10000,,10000,,,legacy-unreviewed
RO,offwind-all,0,,1000,,1000,,1000,,1000,,1000,,,legacy-unreviewed
SE,offwind-all,0,,600,,6600,,12600,,12600,,12600,,,legacy-unreviewed
GB,offwind-all,15916,15916,50000,,,,,,,,,,0.005,CP2030
BG,nuclear-all,0,,2000,,3000,,4000,,4000,,4000,,,legacy-unreviewed
CH,nuclear-all,0,,1190,,595,,0,,0,,0,,,legacy-unreviewed
CZ,nuclear-all,0,,4160,,4660,,5260,,5260,,5260,,,legacy-unreviewed
ES,nuclear-all,0,,5100.36,,2550.18,,0,,0,,0,,,legacy-unreviewed
FI,nuclear-all,0,,4394,,4394,,4394,,4394,,4394,,,legacy-unreviewed
FR,nuclear-all,0,,61760.982,,62334.001,,62907.02,,62907.02,,62907.02,,,legacy-unreviewed
HU,nuclear-all,0,,3097,,3686.999,,4276.998,,4276.998,,4276.998,,,legacy-unreviewed
NL,nuclear-all,0,,486,,243,,0,,0,,0,,,legacy-unreviewed
PL,nuclear-all,0,,0,,2220,,4440,,4440,,4440,,,legacy-unreviewed
RO,nuclear-all,0,,1739.001,,2413.0005,,3087,,3087,,3087,,,legacy-unreviewed
SE,nuclear-all,0,,6883,,6388,,5893,,5893,,5893,,,legacy-unreviewed
SI,nuclear-all,0,,696,,696,,696,,696,,696,,,legacy-unreviewed
SK,nuclear-all,0,,2814.636,,2822.136,,2829.636,,2829.636,,2829.636,,,legacy-unreviewed
GB,nuclear-all,0,,5510.001,,9373.0005,,13236,,13236,,13236,,,legacy-unreviewed
CZ,onwind,0,1500,0,1500,0,2500,0,3500,0,4500,0,5500,,legacy-unreviewed
CZ,solar-all,0,10000,0,10000,0,14000,0,18000,0,22000,0,26000,,legacy-unreviewed
BE,nuclear-all,,,,,2000,2030,2000,2030,2750,2750,6000,6000,0.005,legacy-unreviewed
BEWAL,nuclear-all,,,,,1000,1030,1000,1030,1750,1750,3000,3000,0.005,legacy-unreviewed
BEVLG,nuclear-all,,,,,1000,1000,1000,1000,1000,1000,3000,3000,0.005,siting-policy-2026-09
BEWAL,CCGT-all,1740,,1740,,1740,,1740,,1740,,1740,,,legacy-unreviewed
BEWAL,onwind,2359,2359,3000,,,,,,,,,,0.005,PNEC-PACE+EDORA
DE,onwind,63608,63608,115000,,,,,,,,,,0.005,EEG2023
DE,solar-all,89829,89829,215000,,,,,,,,,,0.005,EEG2023
FR,onwind,23105,23105,31000,,,,,,,,,,0.005,PPE3-2026
FR,solar-all,21521,21521,48000,,,,,,,,,,0.005,PPE3-2026
GB,onwind,16230,16230,29000,,,,,,,,,,0.005,CP2030
GB,solar-all,17879,17879,47000,,,,,,,,,,0.005,CP2030
LU,onwind,227,227,453,,,,,,,,,,0.005,PNEC-LU
LU,solar-all,524,524,1236,,,,,,,,,,0.005,PNEC-LU
NL,onwind,6987,6987,10000,,,,,,,,,,0.005,KEV2024
NL,solar-all,24035,24035,30000,,,,,,,,,,0.005,NECP-NL
