,,2025,2025,2030,2030,2035,2035,2040,2040,2045,2045,2050,2050,tolerance
,,min,max,min,max,min,max,min,max,min,max,min,max,rel
country,carrier,,,,,,,,,,,,,
BEWAL,onwind,1500,1500,1500,,1500,,1500,,1500,,1500,,0.005
BEBRU,onwind,20,20,20,,20,,20,,20,,20,,0.005
BEVLG,onwind,1850,1850,1850,,1850,,1850,,1850,,1850,,0.005
DE,onwind,68000,68000,68000,,68000,,68000,,68000,,68000,,0.005
GB,onwind,15000,15000,15000,,15000,,15000,,15000,,15000,,0.005
FR,onwind,24000,24000,24000,,24000,,24000,,24000,,24000,,0.005
NL,onwind,7000,7000,7000,,7000,,7000,,7000,,7000,,0.005
LU,onwind,208,208,208,,208,,208,,208,,208,,0.005
BEBRU,solar-all,285,285,285,,285,,285,,285,,285,,0.005
BEVLG,solar-all,7000,7000,7000,,7000,,7000,,7000,,7000,,0.005
BEWAL,solar-all,3887,3887,3887,,3887,,3887,,3887,,3887,,0.005
DE,solar-all,117000,117000,117000,,117000,,117000,,117000,,117000,,0.005
GB,solar-all,20000,20000,20000,,20000,,20000,,20000,,20000,,0.005
FR,solar-all,31000,31000,31000,,31000,,31000,,31000,,31000,,0.005
NL,solar-all,25000,25000,25000,,25000,,25000,,25000,,25000,,0.005
LU,solar-all,450,450,450,,450,,450,,450,,450,,0.005
BEVLG,offwind-all,2300,2300,2300,8000,2300,8000,2300,8000,2300,8000,2300,8000,0.005
DE,offwind-all,10000,10000,10000,,10000,,10000,,10000,,10000,,0.005
FR,offwind-all,1600,1600,1600,,1600,,1600,,1600,,1600,,0.005
NL,offwind-all,4700,4700,4700,,4700,,4700,,4700,,4700,,0.005
GB,offwind-all,16000,16000,16000,,16000,,16000,,16000,,16000,,0.005
FR,nuclear-all,62907.02,62907.02,62907.02,,62907.02,,62907.02,,62907.02,,62907.02,,0.005
NL,nuclear-all,485,485,485,,485,,485,,485,,485,,0.005
GB,nuclear-all,5510,5510,5510,,5510,,5510,,5510,,5510,,0.005
BEWAL,nuclear-all,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,0.005
BEVLG,nuclear-all,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,0.005
