planning_horizon,technology,parameter,value,unit,source,further_description
all,Alkaline electrolyzer large size,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,Alkaline electrolyzer medium size,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,Alkaline electrolyzer small size,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,Ammonia cracker,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,BEV Bus city,discount rate,0.11,per unit,input_parameters_for_models.csv,TIMES hurdle: transport
all,BEV Coach,discount rate,0.11,per unit,input_parameters_for_models.csv,TIMES hurdle: transport
all,BEV Truck Semi-Trailer max 50 tons,discount rate,0.11,per unit,input_parameters_for_models.csv,TIMES hurdle: transport
all,BEV Truck Solo max 26 tons,discount rate,0.11,per unit,input_parameters_for_models.csv,TIMES hurdle: transport
all,BEV Truck Trailer max 56 tons,discount rate,0.11,per unit,input_parameters_for_models.csv,TIMES hurdle: transport
all,Battery electric (passenger cars),discount rate,0.11,per unit,input_parameters_for_models.csv,TIMES hurdle: transport
all,Battery electric (trucks),discount rate,0.11,per unit,input_parameters_for_models.csv,TIMES hurdle: transport
all,BioSNG,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,BtL,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,CCGT,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,CH4 (g) fill compressor station,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,CH4 (g) pipeline,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,CH4 (g) submarine pipeline,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,CH4 (l) transport ship,discount rate,0.11,per unit,input_parameters_for_models.csv,TIMES hurdle: transport
all,CH4 evaporation,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,CH4 liquefaction,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,CO2 liquefaction,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,CO2 pipeline,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,CO2 storage tank,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,CO2 submarine pipeline,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,Charging infrastructure fast (purely) battery electric vehicles passenger cars,discount rate,0.11,per unit,input_parameters_for_models.csv,TIMES hurdle: transport
all,Charging infrastructure fuel cell vehicles passenger cars,discount rate,0.11,per unit,input_parameters_for_models.csv,TIMES hurdle: transport
all,Charging infrastructure fuel cell vehicles trucks,discount rate,0.11,per unit,input_parameters_for_models.csv,TIMES hurdle: transport
all,Charging infrastructure slow (purely) battery electric vehicles passenger cars,discount rate,0.11,per unit,input_parameters_for_models.csv,TIMES hurdle: transport
all,Compressed-Air-Adiabatic-bicharger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,Compressed-Air-Adiabatic-store,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,Concrete-charger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,Concrete-discharger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,Concrete-store,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,"Container feeder, ammonia",discount rate,0.11,per unit,input_parameters_for_models.csv,TIMES hurdle: transport
all,"Container feeder, diesel",discount rate,0.11,per unit,input_parameters_for_models.csv,TIMES hurdle: transport
all,"Container feeder, methanol",discount rate,0.11,per unit,input_parameters_for_models.csv,TIMES hurdle: transport
all,"Container, ammonia",discount rate,0.11,per unit,input_parameters_for_models.csv,TIMES hurdle: transport
all,"Container, diesel",discount rate,0.11,per unit,input_parameters_for_models.csv,TIMES hurdle: transport
all,"Container, methanol",discount rate,0.11,per unit,input_parameters_for_models.csv,TIMES hurdle: transport
all,Diesel Bus city,discount rate,0.11,per unit,input_parameters_for_models.csv,TIMES hurdle: transport
all,Diesel Coach,discount rate,0.11,per unit,input_parameters_for_models.csv,TIMES hurdle: transport
all,Diesel Truck Semi-Trailer max 50 tons,discount rate,0.11,per unit,input_parameters_for_models.csv,TIMES hurdle: transport
all,Diesel Truck Solo max 26 tons,discount rate,0.11,per unit,input_parameters_for_models.csv,TIMES hurdle: transport
all,Diesel Truck Trailer max 56 tons,discount rate,0.11,per unit,input_parameters_for_models.csv,TIMES hurdle: transport
all,FCV Bus city,discount rate,0.11,per unit,input_parameters_for_models.csv,TIMES hurdle: transport
all,FCV Coach,discount rate,0.11,per unit,input_parameters_for_models.csv,TIMES hurdle: transport
all,FCV Truck Semi-Trailer max 50 tons,discount rate,0.11,per unit,input_parameters_for_models.csv,TIMES hurdle: transport
all,FCV Truck Solo max 26 tons,discount rate,0.11,per unit,input_parameters_for_models.csv,TIMES hurdle: transport
all,FCV Truck Trailer max 56 tons,discount rate,0.11,per unit,input_parameters_for_models.csv,TIMES hurdle: transport
all,FT fuel transport ship,discount rate,0.11,per unit,input_parameters_for_models.csv,TIMES hurdle: transport
all,Fischer-Tropsch,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,Gasnetz,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,General liquid hydrocarbon storage (crude),discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,General liquid hydrocarbon storage (product),discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,Gravity-Brick-bicharger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,Gravity-Brick-store,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,Gravity-Water-Aboveground-bicharger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,Gravity-Water-Aboveground-store,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,Gravity-Water-Underground-bicharger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,Gravity-Water-Underground-store,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,H2 (g) fill compressor station,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,H2 (g) pipeline,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,H2 (g) pipeline repurposed,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,H2 (g) submarine pipeline,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,H2 (g) submarine pipeline repurposed,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,H2 (l) storage tank,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,H2 (l) transport ship,discount rate,0.11,per unit,input_parameters_for_models.csv,TIMES hurdle: transport
all,H2 evaporation,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,H2 liquefaction,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,H2 pipeline,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,H2 production biomass gasification,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,H2 production biomass gasification CC,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,H2 production coal gasification,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,H2 production coal gasification CC,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,H2 production heavy oil partial oxidation,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,H2 production natural gas steam reforming,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,H2 production natural gas steam reforming CC,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,H2 production solid biomass steam reforming,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,HVAC overhead,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,HVAC submarine,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,HVAC underground,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,HVDC inverter pair,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,HVDC overhead,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,HVDC submarine,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,HVDC underground,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,Haber-Bosch,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,HighT-Molten-Salt-charger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,HighT-Molten-Salt-discharger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,HighT-Molten-Salt-store,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,Hydrogen fuel cell (passenger cars),discount rate,0.11,per unit,input_parameters_for_models.csv,TIMES hurdle: transport
all,Hydrogen fuel cell (trucks),discount rate,0.11,per unit,input_parameters_for_models.csv,TIMES hurdle: transport
all,Hydrogen-charger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,Hydrogen-discharger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,Hydrogen-store,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,LNG storage tank,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,LOHC chemical,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,LOHC dehydrogenation,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,LOHC dehydrogenation (small scale),discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,LOHC hydrogenation,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,LOHC loaded DBT storage,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,LOHC transport ship,discount rate,0.11,per unit,input_parameters_for_models.csv,TIMES hurdle: transport
all,LOHC unloaded DBT storage,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,Lead-Acid-bicharger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,Lead-Acid-store,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,Liquid fuels ICE (passenger cars),discount rate,0.11,per unit,input_parameters_for_models.csv,TIMES hurdle: transport
all,Liquid fuels ICE (trucks),discount rate,0.11,per unit,input_parameters_for_models.csv,TIMES hurdle: transport
all,Liquid-Air-charger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,Liquid-Air-discharger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,Liquid-Air-store,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,Lithium-Ion-LFP-bicharger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,Lithium-Ion-LFP-store,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,Lithium-Ion-NMC-bicharger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,Lithium-Ion-NMC-store,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,LowT-Molten-Salt-charger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,LowT-Molten-Salt-discharger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,LowT-Molten-Salt-store,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,MeOH transport ship,discount rate,0.11,per unit,input_parameters_for_models.csv,TIMES hurdle: transport
all,Methanol steam reforming,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,NH3 (l) storage tank incl. liquefaction,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,NH3 (l) transport ship,discount rate,0.11,per unit,input_parameters_for_models.csv,TIMES hurdle: transport
all,Ni-Zn-bicharger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,Ni-Zn-store,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,OCGT,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,PEM electrolyzer small size,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,PHS,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,Pumped-Heat-charger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,Pumped-Heat-discharger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,Pumped-Heat-store,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,Pumped-Storage-Hydro-bicharger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,Pumped-Storage-Hydro-store,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,SMR,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,SMR CC,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,SOEC,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,Sand-charger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,Sand-discharger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,Sand-store,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,Steam methane reforming,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,"Tank&bulk, diesel",discount rate,0.11,per unit,input_parameters_for_models.csv,TIMES hurdle: transport
all,"Tank&bulk, methanol",discount rate,0.11,per unit,input_parameters_for_models.csv,TIMES hurdle: transport
all,"Tankbulk, ammonia",discount rate,0.11,per unit,input_parameters_for_models.csv,TIMES hurdle: transport
all,Vanadium-Redox-Flow-bicharger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,Vanadium-Redox-Flow-store,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,Zn-Air-bicharger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,Zn-Air-store,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,Zn-Br-Flow-bicharger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,Zn-Br-Flow-store,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,Zn-Br-Nonflow-bicharger,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,Zn-Br-Nonflow-store,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,air separation unit,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,allam,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,ammonia carbon capture retrofit,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,battery inverter,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,battery storage,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,biochar pyrolysis,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,biodiesel crops,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,bioethanol crops,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,biogas,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,biogas CC,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,biogas manure,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,biogas plus hydrogen,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,biogas upgrading,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,biomass,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,biomass CHP,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: chp
all,biomass CHP capture,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: chp
all,biomass EOP,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: power
all,biomass HOP,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,biomass boiler,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,biomass-to-methanol,discount rate,0.075,per unit,input_parameters_for_models.csv,TIMES hurdle: supply
all,blast furnace-basic oxygen furnace,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,cement capture,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,cement carbon capture retrofit,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
all,cement dry clinker,discount rate,0.1,per unit,input_parameters_for_models.csv,TIMES hurdle: industry
