year,hour,availability
2026,0,0.403
2036,0,0.476
2026,1,0.403
2036,1,0.476
2026,2,0.402
2036,2,0.475
2026,3,0.401
2036,3,0.473
2026,4,0.397
2036,4,0.469
2026,5,0.386
2036,5,0.455
2026,6,0.35
2036,6,0.409
2026,7,0.295
2036,7,0.336
2026,8,0.266
2036,8,0.285
2026,9,0.255
2036,9,0.245
2026,10,0.235
2036,10,0.215
2026,11,0.216
2036,11,0.192
2026,12,0.206
2036,12,0.182
2026,13,0.202
2036,13,0.18
2026,14,0.214
2036,14,0.196
2026,15,0.233
2036,15,0.222
2026,16,0.264
2036,16,0.266
2026,17,0.285
2036,17,0.309
2026,18,0.301
2036,18,0.348
2026,19,0.335
2036,19,0.396
2026,20,0.361
2036,20,0.429
2026,21,0.379
2036,21,0.45
2026,22,0.389
2036,22,0.462
2026,23,0.394
2036,23,0.467
