mode,location,variant,hour,value
V0,home,,0,0.041
V0,work,,0,0.013
V0,public,,0,0.022
V0,aggregate,2026,0,0.03
V0,aggregate,2036,0,0.034
V0,home,,1,0.027
V0,work,,1,0.005
V0,public,,1,0.012
V0,aggregate,2026,1,0.018
V0,aggregate,2036,1,0.021
V0,home,,2,0.016
V0,work,,2,0.004
V0,public,,2,0.01
V0,aggregate,2026,2,0.012
V0,aggregate,2036,2,0.013
V0,home,,3,0.009
V0,work,,3,0.003
V0,public,,3,0.008
V0,aggregate,2026,3,0.007
V0,aggregate,2036,3,0.008
V0,home,,4,0.006
V0,work,,4,0.002
V0,public,,4,0.008
V0,aggregate,2026,4,0.005
V0,aggregate,2036,4,0.006
V0,home,,5,0.006
V0,work,,5,0.002
V0,public,,5,0.009
V0,aggregate,2026,5,0.005
V0,aggregate,2036,5,0.006
V0,home,,6,0.007
V0,work,,6,0.002
V0,public,,6,0.009
V0,aggregate,2026,6,0.006
V0,aggregate,2036,6,0.007
V0,home,,7,0.013
V0,work,,7,0.013
V0,public,,7,0.018
V0,aggregate,2026,7,0.014
V0,aggregate,2036,7,0.014
V0,home,,8,0.022
V0,work,,8,0.071
V0,public,,8,0.053
V0,aggregate,2026,8,0.041
V0,aggregate,2036,8,0.034
V0,home,,9,0.026
V0,work,,9,0.163
V0,public,,9,0.089
V0,aggregate,2026,9,0.074
V0,aggregate,2036,9,0.056
V0,home,,10,0.026
V0,work,,10,0.16
V0,public,,10,0.093
V0,aggregate,2026,10,0.074
V0,aggregate,2036,10,0.056
V0,home,,11,0.028
V0,work,,11,0.128
V0,public,,11,0.079
V0,aggregate,2026,11,0.064
V0,aggregate,2036,11,0.051
V0,home,,12,0.03
V0,work,,12,0.091
V0,public,,12,0.073
V0,aggregate,2026,12,0.054
V0,aggregate,2036,12,0.046
V0,home,,13,0.03
V0,work,,13,0.068
V0,public,,13,0.064
V0,aggregate,2026,13,0.046
V0,aggregate,2036,13,0.041
V0,home,,14,0.031
V0,work,,14,0.065
V0,public,,14,0.066
V0,aggregate,2026,14,0.047
V0,aggregate,2036,14,0.041
V0,home,,15,0.038
V0,work,,15,0.048
V0,public,,15,0.066
V0,aggregate,2026,15,0.046
V0,aggregate,2036,15,0.044
V0,home,,16,0.053
V0,work,,16,0.039
V0,public,,16,0.061
V0,aggregate,2026,16,0.051
V0,aggregate,2036,16,0.052
V0,home,,17,0.076
V0,work,,17,0.024
V0,public,,17,0.051
V0,aggregate,2026,17,0.057
V0,aggregate,2036,17,0.064
V0,home,,18,0.098
V0,work,,18,0.015
V0,public,,18,0.037
V0,aggregate,2026,18,0.065
V0,aggregate,2036,18,0.076
V0,home,,19,0.104
V0,work,,19,0.015
V0,public,,19,0.033
V0,aggregate,2026,19,0.067
V0,aggregate,2036,19,0.08
V0,home,,20,0.095
V0,work,,20,0.015
V0,public,,20,0.032
V0,aggregate,2026,20,0.062
V0,aggregate,2036,20,0.073
V0,home,,21,0.083
V0,work,,21,0.014
V0,public,,21,0.032
V0,aggregate,2026,21,0.055
V0,aggregate,2036,21,0.065
V0,home,,22,0.076
V0,work,,22,0.014
V0,public,,22,0.039
V0,aggregate,2026,22,0.053
V0,aggregate,2036,22,0.061
V0,home,,23,0.061
V0,work,,23,0.014
V0,public,,23,0.029
V0,aggregate,2026,23,0.042
V0,aggregate,2036,23,0.049
V1H_V2H,home,capacity_tariff:sunny:with_pv,0,0.043
V1H_V2H,home,capacity_tariff:sunny:without_pv,0,0.055
V1H_V2H,home,capacity_tariff:cloudy:with_pv,0,0.043
V1H_V2H,home,capacity_tariff:cloudy:without_pv,0,0.055
V1H_V2H,home,time_of_use:sunny:with_pv,0,0.043
V1H_V2H,home,time_of_use:sunny:without_pv,0,0.055
V1H_V2H,home,time_of_use:cloudy:with_pv,0,0.043
V1H_V2H,home,time_of_use:cloudy:without_pv,0,0.055
V1H_V2H,work,with_pv,0,0.0103
V1H_V2H,home,capacity_tariff:sunny:with_pv,1,0.049
V1H_V2H,home,capacity_tariff:sunny:without_pv,1,0.062
V1H_V2H,home,capacity_tariff:cloudy:with_pv,1,0.049
V1H_V2H,home,capacity_tariff:cloudy:without_pv,1,0.062
V1H_V2H,home,time_of_use:sunny:with_pv,1,0.049
V1H_V2H,home,time_of_use:sunny:without_pv,1,0.062
V1H_V2H,home,time_of_use:cloudy:with_pv,1,0.049
V1H_V2H,home,time_of_use:cloudy:without_pv,1,0.062
V1H_V2H,work,with_pv,1,0.0
V1H_V2H,home,capacity_tariff:sunny:with_pv,2,0.054
V1H_V2H,home,capacity_tariff:sunny:without_pv,2,0.068
V1H_V2H,home,capacity_tariff:cloudy:with_pv,2,0.054
V1H_V2H,home,capacity_tariff:cloudy:without_pv,2,0.068
V1H_V2H,home,time_of_use:sunny:with_pv,2,0.054
V1H_V2H,home,time_of_use:sunny:without_pv,2,0.068
V1H_V2H,home,time_of_use:cloudy:with_pv,2,0.054
V1H_V2H,home,time_of_use:cloudy:without_pv,2,0.068
V1H_V2H,work,with_pv,2,0.0
V1H_V2H,home,capacity_tariff:sunny:with_pv,3,0.057
V1H_V2H,home,capacity_tariff:sunny:without_pv,3,0.071
V1H_V2H,home,capacity_tariff:cloudy:with_pv,3,0.057
V1H_V2H,home,capacity_tariff:cloudy:without_pv,3,0.071
V1H_V2H,home,time_of_use:sunny:with_pv,3,0.057
V1H_V2H,home,time_of_use:sunny:without_pv,3,0.071
V1H_V2H,home,time_of_use:cloudy:with_pv,3,0.057
V1H_V2H,home,time_of_use:cloudy:without_pv,3,0.071
V1H_V2H,work,with_pv,3,0.0
V1H_V2H,home,capacity_tariff:sunny:with_pv,4,0.056
V1H_V2H,home,capacity_tariff:sunny:without_pv,4,0.071
V1H_V2H,home,capacity_tariff:cloudy:with_pv,4,0.056
V1H_V2H,home,capacity_tariff:cloudy:without_pv,4,0.071
V1H_V2H,home,time_of_use:sunny:with_pv,4,0.056
V1H_V2H,home,time_of_use:sunny:without_pv,4,0.071
V1H_V2H,home,time_of_use:cloudy:with_pv,4,0.056
V1H_V2H,home,time_of_use:cloudy:without_pv,4,0.071
V1H_V2H,work,with_pv,4,0.0
V1H_V2H,home,capacity_tariff:sunny:with_pv,5,0.052
V1H_V2H,home,capacity_tariff:sunny:without_pv,5,0.065
V1H_V2H,home,capacity_tariff:cloudy:with_pv,5,0.052
V1H_V2H,home,capacity_tariff:cloudy:without_pv,5,0.065
V1H_V2H,home,time_of_use:sunny:with_pv,5,0.052
V1H_V2H,home,time_of_use:sunny:without_pv,5,0.065
V1H_V2H,home,time_of_use:cloudy:with_pv,5,0.052
V1H_V2H,home,time_of_use:cloudy:without_pv,5,0.065
V1H_V2H,work,with_pv,5,0.0
V1H_V2H,home,capacity_tariff:sunny:with_pv,6,0.044
V1H_V2H,home,capacity_tariff:sunny:without_pv,6,0.055
V1H_V2H,home,capacity_tariff:cloudy:with_pv,6,0.044
V1H_V2H,home,capacity_tariff:cloudy:without_pv,6,0.055
V1H_V2H,home,time_of_use:sunny:with_pv,6,0.044
V1H_V2H,home,time_of_use:sunny:without_pv,6,0.055
V1H_V2H,home,time_of_use:cloudy:with_pv,6,0.044
