scenario,mode,year,share,units_kveh
Current commitments,V0,2023,0.735,240.0
Current commitments,V0,2024,0.69,340.0
Current commitments,V0,2025,0.69,480.0
Current commitments,V0,2026,0.63,610.0
Current commitments,V0,2027,0.58,730.0
Current commitments,V0,2028,0.54,840.0
Current commitments,V0,2029,0.51,940.0
Current commitments,V0,2030,0.47,1010.0
Current commitments,V0,2031,0.42,1000.0
Current commitments,V0,2032,0.38,980.0
Current commitments,V0,2033,0.33,940.0
Current commitments,V0,2034,0.31,940.0
Current commitments,V0,2035,0.28,950.0
Current commitments,V0,2036,0.27,980.0
Current commitments,V1H,2023,0.26,90.0
Current commitments,V1H,2024,0.3,150.0
Current commitments,V1H,2025,0.3,210.0
Current commitments,V1H,2026,0.35,340.0
Current commitments,V1H,2027,0.4,500.0
Current commitments,V1H,2028,0.43,660.0
Current commitments,V1H,2029,0.44,820.0
Current commitments,V1H,2030,0.46,980.0
Current commitments,V1H,2031,0.47,1130.0
Current commitments,V1H,2032,0.49,1270.0
Current commitments,V1H,2033,0.5,1430.0
Current commitments,V1H,2034,0.52,1590.0
Current commitments,V1H,2035,0.53,1760.0
Current commitments,V1H,2036,0.53,1920.0
Current commitments,V2H,2023,0.0,0.0
Current commitments,V2H,2024,0.0,0.0
Current commitments,V2H,2025,0.0,0.0
Current commitments,V2H,2026,0.0,0.0
Current commitments,V2H,2027,0.0,0.0
Current commitments,V2H,2028,0.01,10.0
Current commitments,V2H,2029,0.01,10.0
Current commitments,V2H,2030,0.0,10.0
Current commitments,V2H,2031,0.01,20.0
Current commitments,V2H,2032,0.01,20.0
Current commitments,V2H,2033,0.01,30.0
Current commitments,V2H,2034,0.01,40.0
Current commitments,V2H,2035,0.01,50.0
Current commitments,V2H,2036,0.02,60.0
Current commitments,V1M,2023,0.005,0.0
Current commitments,V1M,2024,0.01,0.0
Current commitments,V1M,2025,0.01,10.0
Current commitments,V1M,2026,0.02,20.0
Current commitments,V1M,2027,0.02,30.0
Current commitments,V1M,2028,0.03,40.0
Current commitments,V1M,2029,0.04,80.0
Current commitments,V1M,2030,0.07,140.0
Current commitments,V1M,2031,0.1,230.0
Current commitments,V1M,2032,0.12,320.0
Current commitments,V1M,2033,0.15,420.0
Current commitments,V1M,2034,0.16,490.0
Current commitments,V1M,2035,0.16,550.0
Current commitments,V1M,2036,0.17,600.0
Current commitments,V2M,2023,0.0,0.0
Current commitments,V2M,2024,0.0,0.0
Current commitments,V2M,2025,0.0,0.0
Current commitments,V2M,2026,0.0,0.0
Current commitments,V2M,2027,0.0,0.0
Current commitments,V2M,2028,0.0,0.0
Current commitments,V2M,2029,0.0,0.0
Current commitments,V2M,2030,0.0,0.0
Current commitments,V2M,2031,0.0,10.0
Current commitments,V2M,2032,0.0,10.0
Current commitments,V2M,2033,0.01,20.0
Current commitments,V2M,2034,0.01,20.0
Current commitments,V2M,2035,0.01,30.0
Current commitments,V2M,2036,0.01,30.0
Constrained Transition,V0,2023,0.735,240.0
Constrained Transition,V0,2024,0.69,340.0
Constrained Transition,V0,2025,0.71,480.0
Constrained Transition,V0,2026,0.65,570.0
Constrained Transition,V0,2027,0.6,670.0
Constrained Transition,V0,2028,0.56,760.0
Constrained Transition,V0,2029,0.53,840.0
Constrained Transition,V0,2030,0.49,900.0
Constrained Transition,V0,2031,0.46,940.0
Constrained Transition,V0,2032,0.43,950.0
Constrained Transition,V0,2033,0.38,920.0
Constrained Transition,V0,2034,0.37,950.0
Constrained Transition,V0,2035,0.35,980.0
Constrained Transition,V0,2036,0.34,1010.0
Constrained Transition,V1H,2023,0.26,90.0
Constrained Transition,V1H,2024,0.3,150.0
Constrained Transition,V1H,2025,0.28,190.0
Constrained Transition,V1H,2026,0.34,300.0
Constrained Transition,V1H,2027,0.39,430.0
Constrained Transition,V1H,2028,0.42,570.0
Constrained Transition,V1H,2029,0.45,710.0
Constrained Transition,V1H,2030,0.47,870.0
Constrained Transition,V1H,2031,0.48,990.0
Constrained Transition,V1H,2032,0.49,1080.0
Constrained Transition,V1H,2033,0.51,1220.0
Constrained Transition,V1H,2034,0.51,1320.0
Constrained Transition,V1H,2035,0.52,1450.0
Constrained Transition,V1H,2036,0.54,1600.0
Constrained Transition,V2H,2023,0.0,0.0
Constrained Transition,V2H,2024,0.0,0.0
Constrained Transition,V2H,2025,0.0,0.0
Constrained Transition,V2H,2026,0.0,0.0
Constrained Transition,V2H,2027,0.0,0.0
Constrained Transition,V2H,2028,0.01,10.0
Constrained Transition,V2H,2029,0.01,10.0
Constrained Transition,V2H,2030,0.01,10.0
Constrained Transition,V2H,2031,0.0,10.0
Constrained Transition,V2H,2032,0.0,10.0
Constrained Transition,V2H,2033,0.01,30.0
Constrained Transition,V2H,2034,0.01,30.0
Constrained Transition,V2H,2035,0.01,40.0
Constrained Transition,V2H,2036,0.01,40.0
Constrained Transition,V1M,2023,0.005,0.0
Constrained Transition,V1M,2024,0.01,0.0
Constrained Transition,V1M,2025,0.01,10.0
Constrained Transition,V1M,2026,0.01,10.0
Constrained Transition,V1M,2027,0.01,10.0
Constrained Transition,V1M,2028,0.01,20.0
Constrained Transition,V1M,2029,0.02,30.0
Constrained Transition,V1M,2030,0.03,60.0
Constrained Transition,V1M,2031,0.05,110.0
Constrained Transition,V1M,2032,0.08,170.0
Constrained Transition,V1M,2033,0.09,220.0
Constrained Transition,V1M,2034,0.1,260.0
Constrained Transition,V1M,2035,0.1,290.0
Constrained Transition,V1M,2036,0.1,310.0
Constrained Transition,V2M,2023,0.0,0.0
Constrained Transition,V2M,2024,0.0,0.0
Constrained Transition,V2M,2025,0.0,0.0
Constrained Transition,V2M,2026,0.0,0.0
Constrained Transition,V2M,2027,0.0,0.0
Constrained Transition,V2M,2028,0.0,0.0
Constrained Transition,V2M,2029,0.0,0.0
Constrained Transition,V2M,2030,0.0,0.0
Constrained Transition,V2M,2031,0.0,0.0
Constrained Transition,V2M,2032,0.0,10.0
Constrained Transition,V2M,2033,0.0,10.0
Constrained Transition,V2M,2034,0.0,10.0
Constrained Transition,V2M,2035,0.0,10.0
Constrained Transition,V2M,2036,0.0,10.0
Prosumer Power,V0,2023,0.735,240.0
Prosumer Power,V0,2024,0.69,340.0
Prosumer Power,V0,2025,0.68,520.0
Prosumer Power,V0,2026,0.63,680.0
