location,year,share
home,2025,0.531
home,2026,0.546
home,2027,0.562
home,2028,0.577
home,2029,0.592
home,2030,0.608
home,2031,0.623
home,2032,0.638
home,2033,0.654
home,2034,0.669
home,2035,0.685
home,2036,0.7
work,2025,0.277
work,2026,0.265
work,2027,0.254
work,2028,0.242
work,2029,0.231
work,2030,0.219
work,2031,0.208
work,2032,0.196
work,2033,0.185
work,2034,0.173
work,2035,0.162
work,2036,0.15
public,2025,0.192
public,2026,0.188
public,2027,0.185
public,2028,0.181
public,2029,0.177
public,2030,0.173
public,2031,0.169
public,2032,0.165
public,2033,0.162
public,2034,0.158
public,2035,0.154
public,2036,0.15
