hour,year,natural_charging_profile
0,2026,0.03
1,2026,0.018
2,2026,0.012
3,2026,0.007
4,2026,0.005
5,2026,0.005
6,2026,0.006
7,2026,0.014
8,2026,0.041
9,2026,0.074
10,2026,0.074
11,2026,0.064
12,2026,0.054
13,2026,0.046
14,2026,0.047
15,2026,0.046
16,2026,0.051
17,2026,0.057
18,2026,0.065
19,2026,0.067
20,2026,0.062
21,2026,0.055
22,2026,0.053
23,2026,0.042
0,2036,0.034
1,2036,0.021
2,2036,0.013
3,2036,0.008
4,2036,0.006
5,2036,0.006
6,2036,0.007
7,2036,0.014
8,2036,0.034
9,2036,0.056
10,2036,0.056
11,2036,0.051
12,2036,0.046
13,2036,0.041
14,2036,0.041
15,2036,0.044
16,2036,0.052
17,2036,0.064
18,2036,0.076
19,2036,0.08
20,2036,0.073
21,2036,0.065
22,2036,0.061
23,2036,0.049
