hour,year,natural,TOU_PV,TOU_noPV,work
0,2026,0.053,0.034,0.043,0.01
1,2026,0.042,0.039,0.049,0.01
2,2026,0.03,0.043,0.055,0.01
3,2026,0.018,0.049,0.062,0
4,2026,0.012,0.054,0.068,0
5,2026,0.007,0.057,0.071,0
6,2026,0.005,0.056,0.071,0
7,2026,0.005,0.052,0.065,0
8,2026,0.006,0.044,0.055,0
9,2026,0.014,0.035,0.044,0.01
10,2026,0.041,0.03,0.035,0.053
11,2026,0.074,0.034,0.031,0.087
12,2026,0.074,0.043,0.028,0.101
13,2026,0.064,0.053,0.025,0.106
14,2026,0.054,0.059,0.024,0.105
15,2026,0.046,0.06,0.024,0.105
16,2026,0.047,0.052,0.026,0.104
17,2026,0.046,0.041,0.029,0.094
18,2026,0.051,0.031,0.03,0.081
19,2026,0.057,0.025,0.03,0.063
20,2026,0.065,0.024,0.03,0.021
21,2026,0.067,0.026,0.032,0.021
22,2026,0.062,0.029,0.036,0.01
23,2026,0.055,0.032,0.04,0.01
0,2036,0.061,0.034,0.043,0.01
1,2036,0.049,0.039,0.049,0.01
2,2036,0.034,0.043,0.055,0.01
3,2036,0.021,0.049,0.062,0
4,2036,0.013,0.054,0.068,0
5,2036,0.008,0.057,0.071,0
6,2036,0.006,0.056,0.071,0
7,2036,0.006,0.052,0.065,0
8,2036,0.007,0.044,0.055,0
9,2036,0.014,0.035,0.044,0.01
10,2036,0.034,0.03,0.035,0.053
11,2036,0.056,0.034,0.031,0.087
12,2036,0.056,0.043,0.028,0.101
13,2036,0.051,0.053,0.025,0.106
14,2036,0.046,0.059,0.024,0.105
15,2036,0.041,0.06,0.024,0.105
16,2036,0.041,0.052,0.026,0.104
17,2036,0.044,0.041,0.029,0.094
18,2036,0.052,0.031,0.03,0.081
19,2036,0.064,0.025,0.03,0.063
20,2036,0.076,0.024,0.03,0.021
21,2036,0.08,0.026,0.032,0.021
22,2036,0.073,0.029,0.036,0.01
23,2036,0.065,0.032,0.04,0.01
