# Renewable build-rate limits. Generated by scripts/walloon_scripts/build_res_build_rates.py — do not edit by hand.
# `record_annual_MW` is the operative figure: add_CCL_constraints bounds new
# build per horizon at growth_multiplier x record_annual_MW x period years.
# See docs/renewable-potentials.md section 3.
node,carrier,record_annual_MW,record_year,best_5yr_mean_MW,mean_2020_2024_MW,source
BE,offwind-all,706.3,2020,310.0,141.3,"IRENASTAT via powerplantmatching, annual additions 2000-2024"
BEVLG,offwind-all,706.3,2020,310.0,141.3,IRENASTAT BE annual additions x 1.000 (2262 of 2262 MW existing)
DE,offwind-all,2289.0,2015,1312.2,332.0,"IRENASTAT via powerplantmatching, annual additions 2000-2024"
FR,offwind-all,985.7,2023,294.7,294.4,"IRENASTAT via powerplantmatching, annual additions 2000-2024"
GB,offwind-all,2672.0,2022,1387.9,1205.5,"IRENASTAT via powerplantmatching, annual additions 2000-2024"
NL,offwind-all,1502.5,2020,758.1,758.1,"IRENASTAT via powerplantmatching, annual additions 2000-2024"
BE,onwind,355.0,2022,227.9,205.8,"IRENASTAT via powerplantmatching, annual additions 2000-2024"
BEBRU,onwind,5.2,2022,3.3,3.0,IRENASTAT BE annual additions x 0.015 (49 of 3340 MW existing)
BEVLG,onwind,98.9,2022,63.5,57.3,IRENASTAT BE annual additions x 0.278 (929 of 3337 MW existing)
BEWAL,onwind,250.9,2022,161.1,145.5,IRENASTAT BE annual additions x 0.707 (2359 of 3337 MW existing)
DE,onwind,4891.0,2017,3892.6,2084.2,"IRENASTAT via powerplantmatching, annual additions 2000-2024"
FR,onwind,1932.8,2017,1446.7,1338.5,"IRENASTAT via powerplantmatching, annual additions 2000-2024"
GB,onwind,1764.0,2017,1312.4,446.2,"IRENASTAT via powerplantmatching, annual additions 2000-2024"
LU,onwind,55.9,2016,20.2,18.2,"IRENASTAT via powerplantmatching, annual additions 2000-2024"
NL,onwind,997.6,2021,680.9,680.9,"IRENASTAT via powerplantmatching, annual additions 2000-2024"
BE,solar-all,1570.7,2023,1045.8,1045.8,"IRENASTAT via powerplantmatching, annual additions 2000-2024"
BEBRU,solar-all,104.4,2023,69.5,69.5,IRENASTAT BE annual additions x 0.066 (648 of 9751 MW existing)
BEVLG,solar-all,807.8,2023,537.9,537.9,IRENASTAT BE annual additions x 0.514 (5015 of 9752 MW existing)
BEWAL,solar-all,658.5,2023,438.4,438.4,IRENASTAT BE annual additions x 0.419 (4088 of 9752 MW existing)
DE,solar-all,15061.0,2024,8491.6,8491.6,"IRENASTAT via powerplantmatching, annual additions 2000-2024"
FR,solar-all,4129.0,2024,2303.0,2303.0,"IRENASTAT via powerplantmatching, annual additions 2000-2024"
GB,solar-all,4073.0,2015,2199.6,907.3,"IRENASTAT via powerplantmatching, annual additions 2000-2024"
LU,solar-all,129.0,2024,72.7,72.7,"IRENASTAT via powerplantmatching, annual additions 2000-2024"
NL,solar-all,3918.2,2023,3364.2,3364.2,"IRENASTAT via powerplantmatching, annual additions 2000-2024"
