# Extracted from scen_sensibilite_realiste_nets_v01_260911_1109.vd by scripts/walloon_scripts/extract_times_softlink_values.py.
# Rooftop share of TIMES PV plant capacity (VAR_Cap).
year,share,rooftop_gw,utility_gw
# 2030 row REMOVED on purpose: TIMES builds almost no PLANT PV that
# year in this scenario (0.13 GW roof + 0.25 GW ground) while 2.2 GW of
# behind-the-meter PV stays on the roofs, so the plant-only share (0.347)
# and the all-PV share (0.903) disagree by 56 pp and neither describes the
# BEWAL solar fleet that PyPSA's rooftop pin is applied to. With no 2030
# row lookup_year_value() returns None and the pin is simply not added
# that horizon; 2035-2050 keep the plant-only convention used everywhere.
# was: 2030,0.346860,0.132766,0.250000
2035,0.650006,6.997345,3.767704
2040,0.689941,10.480919,4.710118
2045,0.700234,11.002522,4.710118
2050,0.705326,11.274026,4.710118
