,area_km2
eligible_pds,6282.3
pds_ineligible,11058.0
habitat_setback,10610.4
infrastructure_setback,2664.4
nature,2239.5
landscape,5379.5
landscape_pds,3157.6
landscape_adesa,3576.0
risk,1840.5
aviation,1266.8
heritage,320.6
radar,112.1
pds_ineligible_nocorridor,8143.7
pds_ineligible_psroads,9565.6
pds_ineligible_conifers,10302.0
pds_ineligible_conifers_nocorridor,7388.0
pds_ineligible_forest,6273.6
pds_ineligible_forest_nocorridor,3363.6
habitat_setback_cdr2013,12620.7
dwelling_setback_raster_share,0.2649
