turbine,turbine_label,model,spacing_case,min_distance_m,min_distance_rotor_diameters,variant,interfarm_distance_m,eligible_area_km2,n_farms,turbines_per_farm,n_turbines,p_nom_max_mw,effective_density_mw_km2,land_per_turbine_km2,farms_refused_by_horizon
T136_V112,V112 / 3.0 MW (tip 136 m),free,observed,481.6,4.3,row_major,,621.54,,,6492,19476.0,31.335,0.0957,
T136_V112,V112 / 3.0 MW (tip 136 m),grouped,observed,481.6,4.3,row_major,,621.54,50.0,127.5,6377,19131.0,30.78,0.0975,
T136_V112,V112 / 3.0 MW (tip 136 m),free,observed,481.6,4.3,random,,621.54,,,5523,16569.0,26.658,0.1125,
T136_V112,V112 / 3.0 MW (tip 136 m),free,crosswind,560.0,5.0,row_major,,621.54,,,5468,16404.0,26.393,0.1137,
T136_V112,V112 / 3.0 MW (tip 136 m),grouped,crosswind,560.0,5.0,row_major,,621.54,50.0,106.9,5345,16035.0,25.799,0.1163,
T136_V112,V112 / 3.0 MW (tip 136 m),free,crosswind,560.0,5.0,random,,621.54,,,4639,13917.0,22.391,0.134,
T136_V112,V112 / 3.0 MW (tip 136 m),free,isotropic,662.6,5.92,row_major,,621.54,,,4533,13599.0,21.88,0.1371,
T136_V112,V112 / 3.0 MW (tip 136 m),grouped,isotropic,662.6,5.92,row_major,,621.54,51.0,86.4,4404,13212.0,21.257,0.1411,
T136_V112,V112 / 3.0 MW (tip 136 m),free,isotropic,662.6,5.92,random,,621.54,,,3912,11736.0,18.882,0.1589,
T136_V112,V112 / 3.0 MW (tip 136 m),farm,observed,481.6,4.3,2.6 km apart,2600.0,621.54,599.0,7.1,4246,12738.0,20.494,0.1464,
T136_V112,V112 / 3.0 MW (tip 136 m),farm+horizon,observed,481.6,4.3,2.6 km apart,2600.0,621.54,410.0,7.5,3070,9210.0,14.818,0.2025,9820.0
T136_V112,V112 / 3.0 MW (tip 136 m),farm,observed,481.6,4.3,4.0 km apart,4000.0,621.54,369.0,7.7,2832,8496.0,13.669,0.2195,
T136_V112,V112 / 3.0 MW (tip 136 m),farm+horizon,observed,481.6,4.3,4.0 km apart,4000.0,621.54,313.0,7.8,2436,7308.0,11.758,0.2551,3710.0
T136_V112,V112 / 3.0 MW (tip 136 m),farm,observed,481.6,4.3,5.0 km apart,5000.0,621.54,280.0,7.9,2221,6663.0,10.72,0.2798,
T136_V112,V112 / 3.0 MW (tip 136 m),farm+horizon,observed,481.6,4.3,5.0 km apart,5000.0,621.54,258.0,8.0,2068,6204.0,9.982,0.3006,742.0
T136_V112,V112 / 3.0 MW (tip 136 m),farm,observed,481.6,4.3,6.0 km apart,6000.0,621.54,213.0,8.3,1769,5307.0,8.538,0.3514,
T136_V112,V112 / 3.0 MW (tip 136 m),farm+horizon,observed,481.6,4.3,6.0 km apart,6000.0,621.54,208.0,8.3,1733,5199.0,8.365,0.3586,105.0
T136_V112,V112 / 3.0 MW (tip 136 m),farm,crosswind,560.0,5.0,2.6 km apart,2600.0,621.54,559.0,6.3,3515,10545.0,16.966,0.1768,
T136_V112,V112 / 3.0 MW (tip 136 m),farm+horizon,crosswind,560.0,5.0,2.6 km apart,2600.0,621.54,394.0,6.6,2590,7770.0,12.501,0.24,8156.0
T136_V112,V112 / 3.0 MW (tip 136 m),farm,crosswind,560.0,5.0,4.0 km apart,4000.0,621.54,351.0,6.7,2339,7017.0,11.29,0.2657,
T136_V112,V112 / 3.0 MW (tip 136 m),farm+horizon,crosswind,560.0,5.0,4.0 km apart,4000.0,621.54,293.0,6.8,1979,5937.0,9.552,0.3141,3454.0
T136_V112,V112 / 3.0 MW (tip 136 m),farm,crosswind,560.0,5.0,5.0 km apart,5000.0,621.54,264.0,6.9,1814,5442.0,8.756,0.3426,
T136_V112,V112 / 3.0 MW (tip 136 m),farm+horizon,crosswind,560.0,5.0,5.0 km apart,5000.0,621.54,238.0,7.0,1670,5010.0,8.061,0.3722,930.0
T136_V112,V112 / 3.0 MW (tip 136 m),farm,crosswind,560.0,5.0,6.0 km apart,6000.0,621.54,204.0,7.2,1469,4407.0,7.09,0.4231,
T136_V112,V112 / 3.0 MW (tip 136 m),farm+horizon,crosswind,560.0,5.0,6.0 km apart,6000.0,621.54,199.0,7.2,1439,4317.0,6.946,0.4319,143.0
T136_V112,V112 / 3.0 MW (tip 136 m),farm,isotropic,662.6,5.92,2.6 km apart,2600.0,621.54,497.0,5.2,2570,7710.0,12.405,0.2418,
T136_V112,V112 / 3.0 MW (tip 136 m),farm+horizon,isotropic,662.6,5.92,2.6 km apart,2600.0,621.54,365.0,5.2,1910,5730.0,9.219,0.3254,5648.0
T136_V112,V112 / 3.0 MW (tip 136 m),farm,isotropic,662.6,5.92,4.0 km apart,4000.0,621.54,325.0,5.3,1726,5178.0,8.331,0.3601,
T136_V112,V112 / 3.0 MW (tip 136 m),farm+horizon,isotropic,662.6,5.92,4.0 km apart,4000.0,621.54,277.0,5.4,1482,4446.0,7.153,0.4194,2175.0
T136_V112,V112 / 3.0 MW (tip 136 m),farm,isotropic,662.6,5.92,5.0 km apart,5000.0,621.54,246.0,5.5,1343,4029.0,6.482,0.4628,
T136_V112,V112 / 3.0 MW (tip 136 m),farm+horizon,isotropic,662.6,5.92,5.0 km apart,5000.0,621.54,228.0,5.5,1244,3732.0,6.004,0.4996,513.0
T136_V112,V112 / 3.0 MW (tip 136 m),farm,isotropic,662.6,5.92,6.0 km apart,6000.0,621.54,191.0,5.6,1066,3198.0,5.145,0.5831,
T136_V112,V112 / 3.0 MW (tip 136 m),farm+horizon,isotropic,662.6,5.92,6.0 km apart,6000.0,621.54,187.0,5.6,1045,3135.0,5.044,0.5948,51.0
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),free,observed,645.0,4.3,row_major,,570.08,,,4275,17100.0,29.996,0.1334,
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),grouped,observed,645.0,4.3,row_major,,570.08,50.0,82.5,4127,16508.0,28.957,0.1381,
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),free,observed,645.0,4.3,random,,570.08,,,3668,14672.0,25.737,0.1554,
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),free,crosswind,750.0,5.0,row_major,,570.08,,,3809,15236.0,26.726,0.1497,
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),grouped,crosswind,750.0,5.0,row_major,,570.08,50.0,73.2,3659,14636.0,25.674,0.1558,
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),free,crosswind,750.0,5.0,random,,570.08,,,3251,13004.0,22.811,0.1754,
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),free,isotropic,887.4,5.92,row_major,,570.08,,,3271,13084.0,22.951,0.1743,
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),grouped,isotropic,887.4,5.92,row_major,,570.08,50.0,62.4,3121,12484.0,21.899,0.1827,
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),free,isotropic,887.4,5.92,random,,570.08,,,2818,11272.0,19.773,0.2023,
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),farm,observed,645.0,4.3,2.6 km apart,2600.0,570.08,466.0,5.1,2379,9516.0,16.692,0.2396,
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),farm+horizon,observed,645.0,4.3,2.6 km apart,2600.0,570.08,333.0,5.3,1753,7012.0,12.3,0.3252,5048.0
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),farm,observed,645.0,4.3,4.0 km apart,4000.0,570.08,309.0,5.2,1616,6464.0,11.339,0.3528,
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),farm+horizon,observed,645.0,4.3,4.0 km apart,4000.0,570.08,263.0,5.3,1396,5584.0,9.795,0.4084,1619.0
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),farm,observed,645.0,4.3,5.0 km apart,5000.0,570.08,227.0,5.4,1225,4900.0,8.595,0.4654,
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),farm+horizon,observed,645.0,4.3,5.0 km apart,5000.0,570.08,218.0,5.4,1182,4728.0,8.294,0.4823,499.0
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),farm,observed,645.0,4.3,6.0 km apart,6000.0,570.08,180.0,5.5,993,3972.0,6.967,0.5741,
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),farm+horizon,observed,645.0,4.3,6.0 km apart,6000.0,570.08,176.0,5.5,970,3880.0,6.806,0.5877,85.0
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),farm,crosswind,750.0,5.0,2.6 km apart,2600.0,570.08,423.0,4.6,1938,7752.0,13.598,0.2942,
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),farm+horizon,crosswind,750.0,5.0,2.6 km apart,2600.0,570.08,307.0,4.7,1428,5712.0,10.02,0.3992,3622.0
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),farm,crosswind,750.0,5.0,4.0 km apart,4000.0,570.08,282.0,4.7,1314,5256.0,9.22,0.4339,
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),farm+horizon,crosswind,750.0,5.0,4.0 km apart,4000.0,570.08,245.0,4.7,1149,4596.0,8.062,0.4962,1180.0
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),farm,crosswind,750.0,5.0,5.0 km apart,5000.0,570.08,213.0,4.7,1005,4020.0,7.052,0.5672,
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),farm+horizon,crosswind,750.0,5.0,5.0 km apart,5000.0,570.08,204.0,4.7,968,3872.0,6.792,0.5889,267.0
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),farm,crosswind,750.0,5.0,6.0 km apart,6000.0,570.08,175.0,4.8,838,3352.0,5.88,0.6803,
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),farm+horizon,crosswind,750.0,5.0,6.0 km apart,6000.0,570.08,171.0,4.8,820,3280.0,5.754,0.6952,23.0
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),farm,isotropic,887.4,5.92,2.6 km apart,2600.0,570.08,367.0,4.3,1590,6360.0,11.156,0.3585,
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),farm+horizon,isotropic,887.4,5.92,2.6 km apart,2600.0,570.08,272.0,4.4,1190,4760.0,8.35,0.4791,2357.0
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),farm,isotropic,887.4,5.92,4.0 km apart,4000.0,570.08,249.0,4.4,1094,4376.0,7.676,0.5211,
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),farm+horizon,isotropic,887.4,5.92,4.0 km apart,4000.0,570.08,218.0,4.4,963,3852.0,6.757,0.592,818.0
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),farm,isotropic,887.4,5.92,5.0 km apart,5000.0,570.08,190.0,4.5,846,3384.0,5.936,0.6739,
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),farm+horizon,isotropic,887.4,5.92,5.0 km apart,5000.0,570.08,179.0,4.5,804,3216.0,5.641,0.7091,198.0
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),farm,isotropic,887.4,5.92,6.0 km apart,6000.0,570.08,160.0,4.5,718,2872.0,5.038,0.794,
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),farm+horizon,isotropic,887.4,5.92,6.0 km apart,6000.0,570.08,156.0,4.5,700,2800.0,4.912,0.8144,10.0
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),free,observed,752.5,4.3,row_major,,543.03,,,3678,20229.0,37.252,0.1476,
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),grouped,observed,752.5,4.3,row_major,,543.03,59.0,59.6,3518,19349.0,35.632,0.1544,
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),free,observed,752.5,4.3,random,,543.03,,,3135,17242.0,31.752,0.1732,
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),free,crosswind,875.0,5.0,row_major,,543.03,,,3156,17358.0,31.965,0.1721,
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),grouped,crosswind,875.0,5.0,row_major,,543.03,57.0,52.5,2990,16445.0,30.284,0.1816,
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),free,crosswind,875.0,5.0,random,,543.03,,,2722,14971.0,27.569,0.1995,
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),free,isotropic,1035.3,5.92,row_major,,543.03,,,2653,14592.0,26.871,0.2047,
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),grouped,isotropic,1035.3,5.92,row_major,,543.03,64.0,38.6,2473,13602.0,25.047,0.2196,
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),free,isotropic,1035.3,5.92,random,,543.03,,,2292,12606.0,23.214,0.2369,
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),farm,observed,752.5,4.3,2.6 km apart,2600.0,543.03,402.0,4.6,1838,10109.0,18.616,0.2954,
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),farm+horizon,observed,752.5,4.3,2.6 km apart,2600.0,543.03,302.0,4.6,1391,7650.0,14.089,0.3904,3002.0
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),farm,observed,752.5,4.3,4.0 km apart,4000.0,543.03,272.0,4.6,1262,6941.0,12.782,0.4303,
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),farm+horizon,observed,752.5,4.3,4.0 km apart,4000.0,543.03,238.0,4.6,1106,6083.0,11.202,0.491,1087.0
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),farm,observed,752.5,4.3,5.0 km apart,5000.0,543.03,209.0,4.7,977,5374.0,9.895,0.5558,
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),farm+horizon,observed,752.5,4.3,5.0 km apart,5000.0,543.03,203.0,4.7,953,5242.0,9.652,0.5698,239.0
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),farm,observed,752.5,4.3,6.0 km apart,6000.0,543.03,175.0,4.8,833,4582.0,8.437,0.6519,
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),farm+horizon,observed,752.5,4.3,6.0 km apart,6000.0,543.03,171.0,4.8,817,4494.0,8.275,0.6647,51.0
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),farm,crosswind,875.0,5.0,2.6 km apart,2600.0,543.03,343.0,4.3,1489,8190.0,15.081,0.3647,
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),farm+horizon,crosswind,875.0,5.0,2.6 km apart,2600.0,543.03,264.0,4.4,1153,6342.0,11.678,0.471,1952.0
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),farm,crosswind,875.0,5.0,4.0 km apart,4000.0,543.03,233.0,4.4,1021,5616.0,10.341,0.5319,
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),farm+horizon,crosswind,875.0,5.0,4.0 km apart,4000.0,543.03,206.0,4.4,908,4994.0,9.197,0.5981,701.0
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),farm,crosswind,875.0,5.0,5.0 km apart,5000.0,543.03,186.0,4.4,825,4538.0,8.356,0.6582,
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),farm+horizon,crosswind,875.0,5.0,5.0 km apart,5000.0,543.03,176.0,4.5,787,4328.0,7.971,0.69,194.0
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),farm,crosswind,875.0,5.0,6.0 km apart,6000.0,543.03,154.0,4.5,691,3800.0,6.999,0.7859,
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),farm+horizon,crosswind,875.0,5.0,6.0 km apart,6000.0,543.03,151.0,4.5,678,3729.0,6.867,0.8009,10.0
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),farm,isotropic,1035.3,5.92,2.6 km apart,2600.0,543.03,272.0,4.2,1129,6210.0,11.435,0.481,
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),farm+horizon,isotropic,1035.3,5.92,2.6 km apart,2600.0,543.03,213.0,4.2,886,4873.0,8.974,0.6129,1314.0
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),farm,isotropic,1035.3,5.92,4.0 km apart,4000.0,543.03,193.0,4.2,804,4422.0,8.143,0.6754,
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),farm+horizon,isotropic,1035.3,5.92,4.0 km apart,4000.0,543.03,173.0,4.2,721,3966.0,7.303,0.7532,289.0
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),farm,isotropic,1035.3,5.92,5.0 km apart,5000.0,543.03,164.0,4.2,686,3773.0,6.948,0.7916,
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),farm+horizon,isotropic,1035.3,5.92,5.0 km apart,5000.0,543.03,157.0,4.2,658,3619.0,6.664,0.8253,106.0
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),farm,isotropic,1035.3,5.92,6.0 km apart,6000.0,543.03,132.0,4.2,555,3052.0,5.621,0.9784,
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),farm+horizon,isotropic,1035.3,5.92,6.0 km apart,6000.0,543.03,132.0,4.2,555,3052.0,5.621,0.9784,4.0
