turbine,turbine_label,model,spacing_case,min_distance_m,min_distance_rotor_diameters,variant,interdistance_m,eligible_area_km2,n_parks,turbines_per_park,median_park_size,largest_park,n_turbines,p_nom_max_mw,effective_density_mw_km2,refused_by_horizon,share_in_groups_below_min_pct,share_single_pct,check_ok,check_min_spacing_m,check_worst_free_arc_deg
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),free,observed,645.0,4.3,row_major,,417.97,,,,,3213,12852.0,30.749,,,,,,
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),free,observed,645.0,4.3,random,,417.97,,,,,2760,11040.0,26.413,,,,,,
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),parks+horizon,observed,645.0,4.3,,,417.97,467.0,4.9,2.0,55.0,2280,9120.0,21.82,26636.0,18.4,7.5,True,670.8,130.0
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),free,crosswind,750.0,5.0,row_major,,417.97,,,,,2865,11460.0,27.418,,,,,,
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),free,crosswind,750.0,5.0,random,,417.97,,,,,2458,9832.0,23.523,,,,,,
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),parks,crosswind,750.0,5.0,,,417.97,611.0,4.5,2.0,75.0,2771,11084.0,26.519,,22.0,9.3,True,761.6,
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),parks+horizon,crosswind,750.0,5.0,,,417.97,453.0,4.5,2.0,55.0,2043,8172.0,19.552,25940.0,20.7,8.4,True,761.6,130.0
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),parks+horizon+4km,crosswind,750.0,5.0,,4000.0,417.97,284.0,5.6,2.5,55.0,1579,6316.0,15.111,3546.0,13.9,6.1,True,761.6,130.1
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),parks+horizon+6km,crosswind,750.0,5.0,,6000.0,417.97,193.0,6.3,3.0,55.0,1223,4892.0,11.704,412.0,11.4,5.3,True,761.6,130.2
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),parks4+horizon,crosswind,750.0,5.0,,,417.97,168.0,9.6,6.0,55.0,1620,6480.0,15.504,19739.0,0.0,0.0,True,761.6,130.1
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),free,isotropic,887.4,5.92,row_major,,417.97,,,,,2478,9912.0,23.715,,,,,,
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),free,isotropic,887.4,5.92,random,,417.97,,,,,2138,8552.0,20.461,,,,,,
T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),parks+horizon,isotropic,887.4,5.92,,,417.97,481.0,3.7,2.0,46.0,1769,7076.0,16.929,28117.0,27.6,12.0,True,894.4,130.0
