turbine,turbine_label,model,spacing_case,min_distance_m,min_distance_rotor_diameters,variant,interdistance_m,eligible_area_km2,n_parks,turbines_per_park,median_park_size,largest_park,n_turbines,p_nom_max_mw,effective_density_mw_km2,refused_by_horizon,check_ok,check_min_spacing_m,check_worst_free_arc_deg
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),free,observed,752.5,4.3,row_major,,395.63,,,,,2737,15054.0,38.049,,,,
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),free,observed,752.5,4.3,random,,395.63,,,,,2381,13096.0,33.1,,,,
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),parks+horizon,observed,752.5,4.3,,,395.63,162.0,9.5,6.0,57.0,1544,8492.0,21.464,18080.0,True,761.6,130.1
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),free,crosswind,875.0,5.0,row_major,,395.63,,,,,2373,13052.0,32.989,,,,
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),free,crosswind,875.0,5.0,random,,395.63,,,,,2083,11456.0,28.958,,,,
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),parks,crosswind,875.0,5.0,,,395.63,180.0,9.0,5.5,58.0,1622,8921.0,22.549,,True,894.4,
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),parks+horizon,crosswind,875.0,5.0,,,395.63,151.0,8.3,6.0,50.0,1246,6853.0,17.322,17034.0,True,894.4,130.0
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),parks+horizon+4km,crosswind,875.0,5.0,,4000.0,395.63,115.0,8.8,6.0,50.0,1012,5566.0,14.069,2631.0,True,894.4,130.0
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),parks+horizon+6km,crosswind,875.0,5.0,,6000.0,395.63,87.0,9.7,7.0,50.0,844,4642.0,11.733,272.0,True,894.4,130.0
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),parks1+horizon,crosswind,875.0,5.0,,,395.63,503.0,3.4,2.0,50.0,1702,9361.0,23.661,7143.0,True,894.4,130.0
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),free,isotropic,1035.3,5.92,row_major,,395.63,,,,,2011,11060.0,27.957,,,,
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),free,isotropic,1035.3,5.92,random,,395.63,,,,,1764,9702.0,24.523,,,,
T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),parks+horizon,isotropic,1035.3,5.92,,,395.63,138.0,6.8,5.0,23.0,943,5186.0,13.109,14388.0,True,1044.0,130.1
