region,turbine,turbine_label,density_case,capacity_density_mw_km2,eligible_area_km2,p_nom_max_mw,flh_h,energy_twh,n_turbines
admin,T136_V112,V112 / 3.0 MW (tip 136 m),dense,8.0,944.94,7560.0,2461.0,18.6,2520
admin,T136_V112,V112 / 3.0 MW (tip 136 m),derived,6.833,944.94,6457.0,2461.0,15.887,2152
admin,T136_V112,V112 / 3.0 MW (tip 136 m),pypsa_eur,3.0,944.94,2835.0,2461.0,6.975,945
admin,T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),dense,8.0,869.62,6957.0,3253.0,22.628,1739
admin,T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),derived,5.079,869.62,4417.0,3253.0,14.366,1104
admin,T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),pypsa_eur,3.0,869.62,2609.0,3253.0,8.485,652
admin,T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),dense,8.0,829.67,6637.0,3326.0,22.075,1207
admin,T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),derived,5.131,829.67,4257.0,3326.0,14.159,774
admin,T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),pypsa_eur,3.0,829.67,2489.0,3326.0,8.278,453
model,T136_V112,V112 / 3.0 MW (tip 136 m),dense,8.0,882.37,7059.0,2462.0,17.378,2353
model,T136_V112,V112 / 3.0 MW (tip 136 m),derived,6.833,882.37,6029.0,2462.0,14.843,2010
model,T136_V112,V112 / 3.0 MW (tip 136 m),pypsa_eur,3.0,882.37,2647.0,2462.0,6.517,882
model,T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),dense,8.0,812.6,6501.0,3252.0,21.14,1625
model,T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),derived,5.079,812.6,4127.0,3252.0,13.421,1032
model,T185_NREL4,NREL 2020ATB 4.0 MW (tip 185 m),pypsa_eur,3.0,812.6,2438.0,3252.0,7.927,609
model,T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),dense,8.0,775.52,6204.0,3325.0,20.628,1128
model,T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),derived,5.131,775.52,3979.0,3325.0,13.23,723
model,T208_NREL55,NREL 2020ATB 5.5 MW (tip 208 m),pypsa_eur,3.0,775.52,2327.0,3325.0,7.735,423
